tahun,jenis_api,nilai_produksi,jumlah_hari,pelabuhan_kedatangan_id,pelabuhan_keberangkatan_id,kelas_pelabuhan,provinsi,tanggal_berangkat,tanggal_kedatangan,nama_ikan_id,berat
2018,Jaring insang berlapis,700000,2,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-02-04,2018-02-05,Kembung Perempuan [RAB],25
2018,Bouke ami,110864600,109,PPN. Kejawanan,PPN. Kejawanan,PPN,Jawa Barat,2017-10-20,2018-02-05,Cumi-Cumi,2191
2018,Bouke ami,104825000,109,PPN. Kejawanan,PPN. Kejawanan,PPN,Jawa Barat,2017-10-20,2018-02-05,Cumi-Cumi,2995
2018,Bouke ami,104222500,91,PPS. Nizam Zachman,PPS. Nizam Zachman,PPS,DKI. Jakarta,2017-11-07,2018-02-05,Cumi-Cumi,4435
2018,Jaring insang berlapis,616000,2,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-02-05,2018-02-06,Kembung Perempuan [RAB],22
2018,Bouke ami,4982000,89,PPS. Nizam Zachman,PPS. Nizam Zachman,PPS,DKI. Jakarta,2017-11-10,2018-02-06,Cumi-Cumi,212
2018,Jala jatuh berkapal,213360000,85,PPS. Nizam Zachman,PPS. Nizam Zachman,PPS,DKI. Jakarta,2017-11-14,2018-02-06,Cumi-Cumi,3556
2018,Jala jatuh berkapal,191431000,63,PPS. Nizam Zachman,PPS. Nizam Zachman,PPS,DKI. Jakarta,2017-12-06,2018-02-06,Cumi-Cumi,8146
2018,Jaring insang berlapis,672000,2,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-02-06,2018-02-07,Kembung Perempuan [RAB],24
2018,Bagan perahu,1180000,3,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-02-05,2018-02-07,Kembung Perempuan [RAB],59
2018,Jala jatuh berkapal,1912500,91,PPS. Nizam Zachman,PPS. Nizam Zachman,PPS,DKI. Jakarta,2017-11-09,2018-02-07,Kembung Lelaki,153
2018,Bouke ami,8120000,89,PPS. Nizam Zachman,PPS. Nizam Zachman,PPS,DKI. Jakarta,2017-11-11,2018-02-07,Kembung Lelaki,203
2018,Bouke ami,3075000,104,PPS. Nizam Zachman,PPS. Nizam Zachman,PPS,DKI. Jakarta,2017-10-27,2018-02-07,Kembung Lelaki,246
2018,Bouke ami,39795000,142,PPN. Kejawanan,PPN. Kejawanan,PPN,Jawa Barat,2017-09-19,2018-02-07,Cumi-Cumi,1137
2018,Bouke ami,186240000,89,PPS. Nizam Zachman,PPS. Nizam Zachman,PPS,DKI. Jakarta,2017-11-11,2018-02-07,Cumi-Cumi,3104
2018,Jala jatuh berkapal,136041500,91,PPS. Nizam Zachman,PPS. Nizam Zachman,PPS,DKI. Jakarta,2017-11-09,2018-02-07,Cumi-Cumi,5789
2018,Bouke ami,159659000,104,PPS. Nizam Zachman,PPS. Nizam Zachman,PPS,DKI. Jakarta,2017-10-27,2018-02-07,Cumi-Cumi,6794
2018,Bouke ami,706123000,142,PPN. Kejawanan,PPN. Kejawanan,PPN,Jawa Barat,2017-09-19,2018-02-07,Cumi-Cumi,13955
2018,Jaring insang berlapis,616000,2,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-02-07,2018-02-08,Kembung Perempuan [RAB],22
2018,Bagan perahu,840000,3,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-02-06,2018-02-08,Kembung Perempuan [RAB],42
2018,Pukat cincin Pelagis Kecil dengan satu kapal,125000000,3,PPI. Kumai,PPI. Kumai,PPI,Kalimantan Tengah,2018-02-06,2018-02-08,Kembung Perempuan [RAB],5000
2018,Jaring insang berlapis,980000,2,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-02-08,2018-02-09,Kembung Perempuan [RAB],35
2018,Bagan perahu,740000,3,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-02-07,2018-02-09,Kembung Perempuan [RAB],37
2018,Bouke ami,84106500,94,PPS. Nizam Zachman,PPS. Nizam Zachman,PPS,DKI. Jakarta,2017-11-08,2018-02-09,Cumi-Cumi,3579
2018,Bouke ami,1212500,94,PPS. Nizam Zachman,PPS. Nizam Zachman,PPS,DKI. Jakarta,2017-11-10,2018-02-11,Kembung Lelaki,97
2018,Bouke ami,119568000,94,PPS. Nizam Zachman,PPS. Nizam Zachman,PPS,DKI. Jakarta,2017-11-10,2018-02-11,Cumi-Cumi,5088
2018,Bouke ami,156181000,97,PPS. Nizam Zachman,PPS. Nizam Zachman,PPS,DKI. Jakarta,2017-11-07,2018-02-11,Cumi-Cumi,6646
2018,Jaring insang berlapis,644000,2,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-02-11,2018-02-12,Kembung Perempuan [RAB],23
2018,Jaring insang berlapis,756000,2,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-02-12,2018-02-13,Kembung Perempuan [RAB],27
2018,Bouke ami,44520000,99,PPN. Kejawanan,PPN. Kejawanan,PPN,Jawa Barat,2017-11-06,2018-02-12,Cumi-Cumi,1272
